StartTime,label,background_flow_count,normal_flow_count,n_conn,n_dports>1024,n_dports<1024,n_sports>1024,n_sports<1024,avg_duration,n_s_a_p_address,n_s_b_p_address,n_s_c_p_address,n_s_na_p_address,n_d_a_p_address,n_d_b_p_address,n_d_c_p_address,n_d_na_p_address,n_tcp,n_icmp,n_udp
2011-08-10 09:46:53,Normal,298,1,299,4158204,26844,8706494,50860,1410.6932269531771,101,166,32,0,61,215,22,1,114,2,181
2011-08-10 09:46:54,Normal,240,5,245,3468349,23393,7343708,65873,1375.0869875795918,80,146,18,1,61,167,16,1,69,3,169
2011-08-10 09:46:55,Normal,216,0,216,3014731,20808,6745607,15817,1171.4729326435186,86,103,27,0,33,167,16,0,65,9,141
2011-08-10 09:46:56,Normal,250,1,251,3216015,29740,8483089,60187,1187.6424130358569,72,162,17,0,67,168,16,0,86,5,158
2011-08-10 09:46:57,Normal,179,3,182,2497448,8220,5455540,52301,1356.934200697802,72,93,17,0,31,144,7,0,49,2,131
2011-08-10 09:46:58,Normal,262,0,262,2743849,25166,8592038,16676,1058.8818932709926,64,172,26,0,52,187,23,0,84,2,174
2011-08-10 09:46:59,Normal,199,0,199,2651086,13937,5953291,5323,1416.5273826783919,77,103,19,0,38,154,7,0,58,4,137
2011-08-10 09:47:00,Normal,312,3,315,2878763,17933,13057238,3618,771.0908892190475,56,243,15,1,52,254,8,1,46,2,266
2011-08-10 09:47:01,Normal,205,1,206,3551004,19959,5602537,38970,1494.9586476796117,76,111,19,0,51,140,15,0,32,3,170
2011-08-10 09:47:02,Normal,233,5,238,3341276,21303,7050151,16555,1363.5670866764706,83,136,19,0,56,161,20,1,53,3,182
2011-08-10 09:47:03,Normal,254,3,257,3738783,56127,7638390,16234,1364.1597706498055,77,156,24,0,74,171,12,0,46,3,208
2011-08-10 09:47:04,Normal,182,0,182,2643469,17088,5986610,3797,1494.8778308571427,74,93,15,0,25,149,8,0,32,3,146
2011-08-10 09:47:05,Normal,139,0,139,1989575,16071,4611633,51760,1399.0820646043167,61,63,15,0,16,119,4,0,25,3,109
2011-08-10 09:47:06,Normal,172,3,175,2842498,17503,5405308,29177,1463.1817643314287,76,87,12,0,25,141,9,0,26,6,141
2011-08-10 09:47:07,Normal,166,0,166,2396200,19143,5227875,56846,1286.8065266144577,71,80,15,0,24,137,4,1,24,6,136
2011-08-10 09:47:08,Normal,143,0,143,1667267,18075,4341214,10511,1200.1724672167832,54,80,9,0,18,110,15,0,34,2,107
2011-08-10 09:47:09,Normal,169,6,175,2301521,62195,4855449,3089,1267.2843817314285,81,80,14,0,20,137,17,1,40,2,133
2011-08-10 09:47:10,Normal,161,0,161,2268102,21477,4686996,16446,1190.7706866024846,56,90,15,0,22,132,7,0,33,6,122
2011-08-10 09:47:11,Normal,141,0,141,1866619,11168,4439144,5005,1155.1400840921985,60,69,12,0,25,111,5,0,24,2,115
2011-08-10 09:47:12,Normal,152,7,159,1907344,18305,5020029,45816,1228.6267772641509,53,87,19,0,23,125,11,0,33,2,123
2011-08-10 09:47:13,Normal,196,0,196,2328936,7351,6355121,36733,1192.0668430867345,75,103,18,0,25,151,18,2,45,5,146
2011-08-10 09:47:14,Normal,232,0,232,4228310,19804,5727557,19093,1559.420677,78,139,15,0,62,153,17,0,33,7,191
2011-08-10 09:47:15,Normal,164,3,167,2216147,11620,5448105,65101,1229.5932528922156,82,73,12,0,23,136,8,0,42,3,122
2011-08-10 09:47:16,Normal,166,1,167,2319911,17965,5153843,40753,1645.5745448323353,67,81,19,0,25,137,5,0,27,5,134
2011-08-10 09:47:17,Normal,137,3,140,1926130,19305,4065918,14573,1347.1483821857144,59,60,21,0,24,107,9,0,28,3,107
2011-08-10 09:47:18,Normal,199,3,202,2480249,18088,7196407,45743,1161.4294319257426,71,114,17,0,42,141,18,1,69,4,126
2011-08-10 09:47:19,Normal,218,0,218,1800885,9091,8311594,44904,874.8391653073395,67,131,20,0,25,186,6,1,32,2,182
2011-08-10 09:47:20,Normal,157,0,157,1587304,6311,5213075,53040,1209.9287703121017,59,85,13,0,19,122,14,2,36,3,116
2011-08-10 09:47:21,Normal,138,3,141,1272140,57331,5448934,3477,1134.9700360638299,59,73,9,0,22,114,4,1,28,0,112
2011-08-10 09:47:22,Normal,145,4,149,1794297,16417,4846496,58661,1285.07582157047,65,71,13,0,24,119,6,0,30,2,117
2011-08-10 09:47:23,Normal,137,0,137,1783716,19075,4269677,66876,1203.7508066277373,57,63,17,0,16,113,8,0,29,3,105
2011-08-10 09:47:24,Normal,162,3,165,2334892,17838,5056068,55297,1182.016348678788,61,93,11,0,32,124,9,0,20,3,142
2011-08-10 09:47:25,Normal,129,0,129,1570188,15823,3913162,39585,1462.951214852713,54,66,9,0,23,99,6,1,17,2,108
2011-08-10 09:47:26,Normal,165,0,165,2048545,18052,5275009,2772,1259.0227636666666,80,71,14,0,17,140,7,1,21,2,140
2011-08-10 09:47:27,Normal,191,3,194,2720373,10270,6154797,54204,1235.193829613402,67,109,18,0,44,134,16,0,53,5,135
2011-08-10 09:47:28,Normal,180,0,180,2770122,17348,5343974,52527,1298.4570594555555,68,93,19,0,35,138,7,0,39,5,136
2011-08-10 09:47:29,Normal,143,0,143,1584104,17070,4820150,51386,1271.1812364335663,67,63,13,0,12,129,2,0,25,4,114
2011-08-10 09:47:30,Normal,151,3,154,1699387,18376,5850081,61091,747.5934238766234,54,89,11,0,20,127,7,0,34,3,117
2011-08-10 09:47:31,Normal,227,0,227,1603717,26255,9223302,31645,942.5631903259911,62,154,11,0,32,192,3,0,33,3,191
2011-08-10 09:47:32,Normal,214,4,218,2349174,21328,7180322,41034,978.4195318990825,85,110,23,0,28,175,15,0,48,5,165
2011-08-10 09:47:33,Normal,120,3,123,1730374,16621,3795389,53777,1298.7951203658536,59,54,10,0,22,95,6,0,24,2,97
2011-08-10 09:47:34,Normal,186,0,186,1865153,19807,5088583,14949,1059.0090361505374,71,100,15,0,19,166,1,0,54,2,130
2011-08-10 09:47:35,Normal,188,0,188,1377534,11655,6656583,2372,840.3296770319148,61,117,10,0,21,147,20,0,78,2,108
2011-08-10 09:47:36,Normal,157,0,157,1786969,20548,5308625,13439,967.513651312102,51,99,7,0,25,120,12,0,31,4,121
2011-08-10 09:47:37,Normal,197,3,200,2593150,19613,6452730,52336,1289.4212943500002,84,102,14,0,25,165,10,0,27,3,170
